method,kappa,size,mechanism,train_seed,decode,eval_seed,instance_index,instance_filename,objective,model_objective,distance,tardiness
Co-HeT,2,20,ID,1234,greedy,20260827,1,N20_K2_M12_I1.xlsx,10.7755465508,10.7755470276,17.2111339569,4.33995914459
Co-HeT,2,20,ID,1234,greedy,20260827,2,N20_K2_M12_I2.xlsx,11.1876957417,11.1876955032,17.1076164246,5.26777505875
Co-HeT,2,20,ID,1234,greedy,20260827,3,N20_K2_M12_I3.xlsx,10.0703177452,10.070318222,16.0731964111,4.06743907928
Co-HeT,2,20,ID,1234,greedy,20260827,4,N20_K2_M12_I4.xlsx,9.11536645889,9.11536598206,14.2220458984,4.00868701935
Co-HeT,2,20,ID,1234,greedy,20260827,5,N20_K2_M12_I5.xlsx,9.89543426037,9.89543437958,16.519115448,3.27175307274
Co-HeT,2,20,ID,1234,greedy,20260827,6,N20_K2_M12_I6.xlsx,11.825568676,11.8255691528,17.5394115448,6.11172580719
Co-HeT,2,20,ID,1234,greedy,20260827,7,N20_K2_M12_I7.xlsx,12.1397237778,12.1397247314,18.5964260101,5.68302154541
Co-HeT,2,20,ID,1234,greedy,20260827,8,N20_K2_M12_I8.xlsx,11.5821490288,11.5821495056,17.5939445496,5.570353508
Co-HeT,2,20,ID,1234,greedy,20260827,9,N20_K2_M12_I9.xlsx,10.15610075,10.1561012268,17.0815887451,3.23061275482
Co-HeT,2,20,ID,1234,greedy,20260827,10,N20_K2_M12_I10.xlsx,10.8092472553,10.8092470169,16.7561073303,4.86238718033
Co-HeT,2,20,ID,1234,greedy,20260827,11,N20_K2_M12_I11.xlsx,10.9962067604,10.9962081909,16.578622818,5.41379070282
Co-HeT,2,20,ID,1234,greedy,20260827,12,N20_K2_M12_I12.xlsx,8.05189609528,8.05189704895,14.1025876999,2.00120449066
Co-HeT,2,20,ID,1234,greedy,20260827,13,N20_K2_M12_I13.xlsx,11.1259547472,11.125954628,18.4580383301,3.79387116432
Co-HeT,2,20,ID,1234,greedy,20260827,14,N20_K2_M12_I14.xlsx,8.88019037247,8.88018989563,14.6320571899,3.12832355499
Co-HeT,2,20,ID,1234,greedy,20260827,15,N20_K2_M12_I15.xlsx,9.96295499802,9.96295547485,16.373249054,3.55266094208
Co-HeT,2,20,ID,1234,greedy,20260827,16,N20_K2_M12_I16.xlsx,10.6824500561,10.6824502945,16.1776046753,5.18729543686
Co-HeT,2,20,ID,1234,greedy,20260827,17,N20_K2_M12_I17.xlsx,9.50703406334,9.50703430176,15.1955051422,3.81856298447
Co-HeT,2,20,ID,1234,greedy,20260827,18,N20_K2_M12_I18.xlsx,10.8997530937,10.8997535706,17.7612400055,4.03826618195
Co-HeT,2,20,ID,1234,greedy,20260827,19,N20_K2_M12_I19.xlsx,9.92284417152,9.92284393311,16.0821208954,3.76356744766
Co-HeT,2,20,ID,1234,greedy,20260827,20,N20_K2_M12_I20.xlsx,11.1604866982,11.1604862213,16.6325473785,5.68842601776
Co-HeT,2,20,ID,1234,greedy,20260827,21,N20_K2_M12_I21.xlsx,11.1782188416,11.1782188416,16.678609848,5.67782783508
Co-HeT,2,20,ID,1234,greedy,20260827,22,N20_K2_M12_I22.xlsx,11.537737608,11.5377388,17.9688835144,5.10659170151
Co-HeT,2,20,ID,1234,greedy,20260827,23,N20_K2_M12_I23.xlsx,12.357011795,12.3570108414,18.5801868439,6.13383674622
Co-HeT,2,20,ID,1234,greedy,20260827,24,N20_K2_M12_I24.xlsx,12.2372441292,12.2372436523,18.1550807953,6.31940746307
Co-HeT,2,20,ID,1234,greedy,20260827,25,N20_K2_M12_I25.xlsx,9.66283321381,9.66283321381,15.1480712891,4.17759513855
Co-HeT,2,20,ID,1234,greedy,20260827,26,N20_K2_M12_I26.xlsx,10.968996048,10.968996048,16.9674377441,4.97055435181
Co-HeT,2,20,ID,1234,greedy,20260827,27,N20_K2_M12_I27.xlsx,10.0643622875,10.0643634796,16.1218013763,4.0069231987
Co-HeT,2,20,ID,1234,greedy,20260827,28,N20_K2_M12_I28.xlsx,11.4992594719,11.4992599487,17.501033783,5.49748516083
Co-HeT,2,20,ID,1234,greedy,20260827,29,N20_K2_M12_I29.xlsx,11.4260854721,11.4260864258,16.6945171356,6.15765380859
Co-HeT,2,20,ID,1234,greedy,20260827,30,N20_K2_M12_I30.xlsx,10.5869098902,10.5869102478,17.6271629333,3.546656847
Co-HeT,2,20,ID,1234,greedy,20260827,31,N20_K2_M12_I31.xlsx,8.53678178787,8.53678131104,13.7565317154,3.31703186035
Co-HeT,2,20,ID,1234,greedy,20260827,32,N20_K2_M12_I32.xlsx,7.8748691082,7.87486934662,13.3938875198,2.35585069656
Co-HeT,2,20,ID,1234,greedy,20260827,33,N20_K2_M12_I33.xlsx,8.6823720932,8.6823720932,15.4290008545,1.93574333191
Co-HeT,2,20,ID,1234,greedy,20260827,34,N20_K2_M12_I34.xlsx,11.1255021095,11.1255016327,16.8839874268,5.3670167923
Co-HeT,2,20,ID,1234,greedy,20260827,35,N20_K2_M12_I35.xlsx,12.1846532822,12.1846523285,18.3035621643,6.06574440002
Co-HeT,2,20,ID,1234,greedy,20260827,36,N20_K2_M12_I36.xlsx,9.24834060669,9.24834060669,15.2854967117,3.21118450165
Co-HeT,2,20,ID,1234,greedy,20260827,37,N20_K2_M12_I37.xlsx,12.1147155762,12.1147155762,18.5015220642,5.72790908813
Co-HeT,2,20,ID,1234,greedy,20260827,38,N20_K2_M12_I38.xlsx,10.0423375368,10.0423383713,17.0354824066,3.04919266701
Co-HeT,2,20,ID,1234,greedy,20260827,39,N20_K2_M12_I39.xlsx,11.710590601,11.7105894089,18.2009735107,5.22020769119
Co-HeT,2,20,ID,1234,greedy,20260827,40,N20_K2_M12_I40.xlsx,10.1405549049,10.1405544281,16.081193924,4.19991588593
Co-HeT,2,20,ID,1234,greedy,20260827,41,N20_K2_M12_I41.xlsx,10.3723475933,10.3723478317,16.9971466064,3.74754858017
Co-HeT,2,20,ID,1234,greedy,20260827,42,N20_K2_M12_I42.xlsx,10.9617586136,10.9617586136,16.5021362305,5.4213809967
Co-HeT,2,20,ID,1234,greedy,20260827,43,N20_K2_M12_I43.xlsx,9.43837022781,9.43837070465,15.66796875,3.20877170563
Co-HeT,2,20,ID,1234,greedy,20260827,44,N20_K2_M12_I44.xlsx,12.1573648453,12.1573648453,17.0854587555,7.22927093506
Co-HeT,2,20,ID,1234,greedy,20260827,45,N20_K2_M12_I45.xlsx,11.2380869389,11.2380867004,17.5657806396,4.91039323807
Co-HeT,2,20,ID,1234,greedy,20260827,46,N20_K2_M12_I46.xlsx,8.14058828354,8.14058876038,13.5934028625,2.68777370453
Co-HeT,2,20,ID,1234,greedy,20260827,47,N20_K2_M12_I47.xlsx,10.0784549713,10.0784549713,15.7727651596,4.38414478302
Co-HeT,2,20,ID,1234,greedy,20260827,48,N20_K2_M12_I48.xlsx,9.73164272308,9.73164272308,15.6663599014,3.79692554474
Co-HeT,2,20,ID,1234,greedy,20260827,49,N20_K2_M12_I49.xlsx,10.0721445084,10.0721435547,17.0689945221,3.07529449463
Co-HeT,2,20,ID,1234,greedy,20260827,50,N20_K2_M12_I50.xlsx,12.836928606,12.8369283676,18.2165546417,7.45730257034
Co-HeT,2,20,ID,1234,greedy,20260827,51,N20_K2_M12_I51.xlsx,11.2203860283,11.2203865051,17.0673522949,5.37341976166
Co-HeT,2,20,ID,1234,greedy,20260827,52,N20_K2_M12_I52.xlsx,10.3733212948,10.3733205795,15.8674535751,4.87918901443
Co-HeT,2,20,ID,1234,greedy,20260827,53,N20_K2_M12_I53.xlsx,10.7266852856,10.726685524,15.705663681,5.74770689011
Co-HeT,2,20,ID,1234,greedy,20260827,54,N20_K2_M12_I54.xlsx,9.78603971004,9.78603935242,16.7235984802,2.84848093987
Co-HeT,2,20,ID,1234,greedy,20260827,55,N20_K2_M12_I55.xlsx,11.8104064465,11.8104066849,17.9804229736,5.64038991928
Co-HeT,2,20,ID,1234,greedy,20260827,56,N20_K2_M12_I56.xlsx,12.8359568119,12.8359575272,20.2079277039,5.46398591995
Co-HeT,2,20,ID,1234,greedy,20260827,57,N20_K2_M12_I57.xlsx,11.4739341736,11.4739341736,17.5716724396,5.37619590759
Co-HeT,2,20,ID,1234,greedy,20260827,58,N20_K2_M12_I58.xlsx,9.25696730614,9.25696659088,15.6505556107,2.86337900162
Co-HeT,2,20,ID,1234,greedy,20260827,59,N20_K2_M12_I59.xlsx,9.00463891029,9.00463867188,13.9670772552,4.04220056534
Co-HeT,2,20,ID,1234,greedy,20260827,60,N20_K2_M12_I60.xlsx,9.93387031555,9.93387031555,15.4526205063,4.41512012482
Co-HeT,2,20,ID,1234,greedy,20260827,61,N20_K2_M12_I61.xlsx,10.0529749393,10.0529737473,16.0470294952,4.05892038345
Co-HeT,2,20,ID,1234,greedy,20260827,62,N20_K2_M12_I62.xlsx,8.8397128582,8.83971214294,14.7022867203,2.97713899612
Co-HeT,2,20,ID,1234,greedy,20260827,63,N20_K2_M12_I63.xlsx,10.5875592232,10.5875587463,17.104850769,4.07026767731
Co-HeT,2,20,ID,1234,greedy,20260827,64,N20_K2_M12_I64.xlsx,9.66207683086,9.66207790375,17.2041988373,2.11995482445
Co-HeT,2,20,ID,1234,greedy,20260827,65,N20_K2_M12_I65.xlsx,12.6251988411,12.6251964569,18.7325553894,6.51784229279
Co-HeT,2,20,ID,1234,greedy,20260827,66,N20_K2_M12_I66.xlsx,11.5423512459,11.542350769,18.1654109955,4.91929149628
Co-HeT,2,20,ID,1234,greedy,20260827,67,N20_K2_M12_I67.xlsx,10.1519675255,10.1519670486,15.1305170059,5.17341804504
Co-HeT,2,20,ID,1234,greedy,20260827,68,N20_K2_M12_I68.xlsx,10.327671051,10.327671051,15.9573068619,4.69803524017
Co-HeT,2,20,ID,1234,greedy,20260827,69,N20_K2_M12_I69.xlsx,10.7489051819,10.7489051819,15.5840539932,5.91375637054
Co-HeT,2,20,ID,1234,greedy,20260827,70,N20_K2_M12_I70.xlsx,10.2578437328,10.2578439713,16.976524353,3.53916311264
Co-HeT,2,20,ID,1234,greedy,20260827,71,N20_K2_M12_I71.xlsx,11.7370815277,11.7370824814,19.35455513,4.11960792542
Co-HeT,2,20,ID,1234,greedy,20260827,72,N20_K2_M12_I72.xlsx,11.4700767994,11.470076561,18.5537223816,4.38643121719
Co-HeT,2,20,ID,1234,greedy,20260827,73,N20_K2_M12_I73.xlsx,9.49348497391,9.49348449707,15.2026748657,3.78429508209
Co-HeT,2,20,ID,1234,greedy,20260827,74,N20_K2_M12_I74.xlsx,11.1420991421,11.1420993805,17.1248817444,5.15931653976
Co-HeT,2,20,ID,1234,greedy,20260827,75,N20_K2_M12_I75.xlsx,9.73672831059,9.73672771454,16.9384899139,2.53496670723
Co-HeT,2,20,ID,1234,greedy,20260827,76,N20_K2_M12_I76.xlsx,12.2931609154,12.2931594849,18.7363300323,5.8499917984
Co-HeT,2,20,ID,1234,greedy,20260827,77,N20_K2_M12_I77.xlsx,9.72252702713,9.72252655029,15.1404209137,4.30463314056
Co-HeT,2,20,ID,1234,greedy,20260827,78,N20_K2_M12_I78.xlsx,9.37971055508,9.37971019745,15.5959091187,3.1635119915
Co-HeT,2,20,ID,1234,greedy,20260827,79,N20_K2_M12_I79.xlsx,11.0481479168,11.0481481552,16.83842659,5.25786924362
Co-HeT,2,20,ID,1234,greedy,20260827,80,N20_K2_M12_I80.xlsx,11.2554991245,11.2554988861,17.5494403839,4.96155786514
Co-HeT,2,20,ID,1234,greedy,20260827,81,N20_K2_M12_I81.xlsx,10.2231856585,10.2231845856,16.5267848969,3.91958642006
Co-HeT,2,20,ID,1234,greedy,20260827,82,N20_K2_M12_I82.xlsx,10.1540038586,10.154004097,16.3474655151,3.960542202
Co-HeT,2,20,ID,1234,greedy,20260827,83,N20_K2_M12_I83.xlsx,10.8268923759,10.8268928528,15.9148645401,5.73892021179
Co-HeT,2,20,ID,1234,greedy,20260827,84,N20_K2_M12_I84.xlsx,10.2512760162,10.2512760162,16.2294445038,4.27310752869
Co-HeT,2,20,ID,1234,greedy,20260827,85,N20_K2_M12_I85.xlsx,11.5932264328,11.5932264328,17.7086906433,5.47776222229
Co-HeT,2,20,ID,1234,greedy,20260827,86,N20_K2_M12_I86.xlsx,9.97964799404,9.97964763641,16.2335224152,3.72577357292
Co-HeT,2,20,ID,1234,greedy,20260827,87,N20_K2_M12_I87.xlsx,10.1356377602,10.1356372833,15.5253677368,4.74590778351
Co-HeT,2,20,ID,1234,greedy,20260827,88,N20_K2_M12_I88.xlsx,9.34604859352,9.3460483551,16.2423629761,2.44973421097
Co-HeT,2,20,ID,1234,greedy,20260827,89,N20_K2_M12_I89.xlsx,10.3751859665,10.3751859665,15.6120672226,5.13830471039
Co-HeT,2,20,ID,1234,greedy,20260827,90,N20_K2_M12_I90.xlsx,11.0179634094,11.0179643631,17.2838764191,4.75205039978
Co-HeT,2,20,ID,1234,greedy,20260827,91,N20_K2_M12_I91.xlsx,10.774430275,10.7744312286,15.7725257874,5.77633476257
Co-HeT,2,20,ID,1234,greedy,20260827,92,N20_K2_M12_I92.xlsx,9.72770130634,9.72770214081,16.6187820435,2.83662056923
Co-HeT,2,20,ID,1234,greedy,20260827,93,N20_K2_M12_I93.xlsx,10.5284290314,10.5284290314,16.2584552765,4.79840278625
Co-HeT,2,20,ID,1234,greedy,20260827,94,N20_K2_M12_I94.xlsx,10.204136014,10.2041368484,17.0517597198,3.35651230812
Co-HeT,2,20,ID,1234,greedy,20260827,95,N20_K2_M12_I95.xlsx,9.3120496273,9.31204891205,15.5773439407,3.04675531387
Co-HeT,2,20,ID,1234,greedy,20260827,96,N20_K2_M12_I96.xlsx,9.78715896606,9.78715896606,16.1807060242,3.39361190796
Co-HeT,2,20,ID,1234,greedy,20260827,97,N20_K2_M12_I97.xlsx,11.1112420559,11.1112422943,17.2381820679,4.98430204391
Co-HeT,2,20,ID,1234,greedy,20260827,98,N20_K2_M12_I98.xlsx,9.49186074734,9.49186038971,15.734951973,3.24876952171
Co-HeT,2,20,ID,1234,greedy,20260827,99,N20_K2_M12_I99.xlsx,10.4101009369,10.4101009369,16.3459033966,4.47429847717
Co-HeT,2,20,ID,1234,greedy,20260827,100,N20_K2_M12_I100.xlsx,10.6034988165,10.6034994125,17.7583065033,3.44869112968
Co-HeT,2,20,ID,1234,sample1280,20260827,1,N20_K2_M12_I1.xlsx,10.5708193779,10.5708198547,16.8016796112,4.33995914459
Co-HeT,2,20,ID,1234,sample1280,20260827,2,N20_K2_M12_I2.xlsx,10.7471823692,10.7471828461,16.2180156708,5.27634906769
Co-HeT,2,20,ID,1234,sample1280,20260827,3,N20_K2_M12_I3.xlsx,9.68820428848,9.68820381165,15.4203166962,3.9560918808
Co-HeT,2,20,ID,1234,sample1280,20260827,4,N20_K2_M12_I4.xlsx,8.6570661068,8.65706634521,12.9085273743,4.40560483932
Co-HeT,2,20,ID,1234,sample1280,20260827,5,N20_K2_M12_I5.xlsx,9.23916566372,9.23916530609,15.0282726288,3.45005869865
Co-HeT,2,20,ID,1234,sample1280,20260827,6,N20_K2_M12_I6.xlsx,11.1441941261,11.1441936493,16.9426555634,5.3457326889
Co-HeT,2,20,ID,1234,sample1280,20260827,7,N20_K2_M12_I7.xlsx,12.1099615097,12.109960556,18.536901474,5.68302154541
Co-HeT,2,20,ID,1234,sample1280,20260827,8,N20_K2_M12_I8.xlsx,11.3969416618,11.3969421387,17.2235298157,5.570353508
Co-HeT,2,20,ID,1234,sample1280,20260827,9,N20_K2_M12_I9.xlsx,10.1560997963,10.1560993195,17.0815868378,3.23061275482
Co-HeT,2,20,ID,1234,sample1280,20260827,10,N20_K2_M12_I10.xlsx,10.6932621002,10.6932621002,16.552406311,4.8341178894
Co-HeT,2,20,ID,1234,sample1280,20260827,11,N20_K2_M12_I11.xlsx,10.6873197556,10.6873197556,16.1647758484,5.20986366272
Co-HeT,2,20,ID,1234,sample1280,20260827,12,N20_K2_M12_I12.xlsx,7.24199962616,7.242000103,12.4827947617,2.00120449066
Co-HeT,2,20,ID,1234,sample1280,20260827,13,N20_K2_M12_I13.xlsx,10.4685611725,10.4685611725,16.8422698975,4.09485244751
Co-HeT,2,20,ID,1234,sample1280,20260827,14,N20_K2_M12_I14.xlsx,8.70846629143,8.70846557617,14.0758724213,3.34106016159
Co-HeT,2,20,ID,1234,sample1280,20260827,15,N20_K2_M12_I15.xlsx,9.64557695389,9.64557647705,15.7384929657,3.55266094208
Co-HeT,2,20,ID,1234,sample1280,20260827,16,N20_K2_M12_I16.xlsx,10.255153656,10.255153656,14.9404497147,5.56985759735
Co-HeT,2,20,ID,1234,sample1280,20260827,17,N20_K2_M12_I17.xlsx,9.41071629524,9.41071605682,14.851899147,3.96953344345
Co-HeT,2,20,ID,1234,sample1280,20260827,18,N20_K2_M12_I18.xlsx,10.4022603035,10.4022598267,16.0986919403,4.70582866669
Co-HeT,2,20,ID,1234,sample1280,20260827,19,N20_K2_M12_I19.xlsx,9.58863162994,9.58863162994,14.8116407394,4.36562252045
Co-HeT,2,20,ID,1234,sample1280,20260827,20,N20_K2_M12_I20.xlsx,11.0163493156,11.0163497925,17.1535625458,4.87913608551
Co-HeT,2,20,ID,1234,sample1280,20260827,21,N20_K2_M12_I21.xlsx,11.0683097839,11.0683097839,16.5218334198,5.61478614807
Co-HeT,2,20,ID,1234,sample1280,20260827,22,N20_K2_M12_I22.xlsx,11.1239521503,11.1239528656,17.4901027679,4.75780153275
Co-HeT,2,20,ID,1234,sample1280,20260827,23,N20_K2_M12_I23.xlsx,11.9919164181,11.9919176102,18.5339260101,5.44990682602
Co-HeT,2,20,ID,1234,sample1280,20260827,24,N20_K2_M12_I24.xlsx,11.8494706154,11.8494701385,16.8640918732,6.8348493576
Co-HeT,2,20,ID,1234,sample1280,20260827,25,N20_K2_M12_I25.xlsx,9.40274095535,9.40274047852,14.6750984192,4.13038349152
Co-HeT,2,20,ID,1234,sample1280,20260827,26,N20_K2_M12_I26.xlsx,10.9215679169,10.9215669632,16.8725814819,4.97055435181
Co-HeT,2,20,ID,1234,sample1280,20260827,27,N20_K2_M12_I27.xlsx,9.76925563812,9.76925563812,14.5600070953,4.97850418091
Co-HeT,2,20,ID,1234,sample1280,20260827,28,N20_K2_M12_I28.xlsx,11.3499805927,11.3499803543,16.8204593658,5.87950181961
Co-HeT,2,20,ID,1234,sample1280,20260827,29,N20_K2_M12_I29.xlsx,10.9015157223,10.9015159607,15.6140785217,6.18895292282
Co-HeT,2,20,ID,1234,sample1280,20260827,30,N20_K2_M12_I30.xlsx,10.1774256229,10.1774253845,16.8744812012,3.48037004471
Co-HeT,2,20,ID,1234,sample1280,20260827,31,N20_K2_M12_I31.xlsx,8.29405069351,8.29405021667,13.2710695267,3.31703186035
Co-HeT,2,20,ID,1234,sample1280,20260827,32,N20_K2_M12_I32.xlsx,7.82712769508,7.82712650299,13.2984046936,2.35585069656
Co-HeT,2,20,ID,1234,sample1280,20260827,33,N20_K2_M12_I33.xlsx,8.37244927883,8.37244987488,14.8640441895,1.88085436821
Co-HeT,2,20,ID,1234,sample1280,20260827,34,N20_K2_M12_I34.xlsx,11.0008206367,11.0008201599,16.6346244812,5.3670167923
Co-HeT,2,20,ID,1234,sample1280,20260827,35,N20_K2_M12_I35.xlsx,11.8874034882,11.8874044418,17.518945694,6.25586128235
Co-HeT,2,20,ID,1234,sample1280,20260827,36,N20_K2_M12_I36.xlsx,9.15460109711,9.15460014343,15.0980176926,3.21118450165
Co-HeT,2,20,ID,1234,sample1280,20260827,37,N20_K2_M12_I37.xlsx,12.021998167,12.0219974518,18.5008029938,5.5431933403
Co-HeT,2,20,ID,1234,sample1280,20260827,38,N20_K2_M12_I38.xlsx,9.58869731426,9.58869743347,15.7351169586,3.44227766991
Co-HeT,2,20,ID,1234,sample1280,20260827,39,N20_K2_M12_I39.xlsx,11.4531548023,11.4531545639,17.5331039429,5.37320566177
Co-HeT,2,20,ID,1234,sample1280,20260827,40,N20_K2_M12_I40.xlsx,9.8132557869,9.81325531006,15.4265956879,4.19991588593
Co-HeT,2,20,ID,1234,sample1280,20260827,41,N20_K2_M12_I41.xlsx,10.2373654842,10.2373657227,16.7271823883,3.74754858017
Co-HeT,2,20,ID,1234,sample1280,20260827,42,N20_K2_M12_I42.xlsx,10.9261894226,10.9261884689,16.2066802979,5.64569854736
Co-HeT,2,20,ID,1234,sample1280,20260827,43,N20_K2_M12_I43.xlsx,8.7876957655,8.78769493103,14.7057027817,2.86968874931
Co-HeT,2,20,ID,1234,sample1280,20260827,44,N20_K2_M12_I44.xlsx,10.964058876,10.964058876,14.7491149902,7.17900276184
Co-HeT,2,20,ID,1234,sample1280,20260827,45,N20_K2_M12_I45.xlsx,10.8472561836,10.8472557068,16.9933395386,4.70117282867
Co-HeT,2,20,ID,1234,sample1280,20260827,46,N20_K2_M12_I46.xlsx,7.7285027504,7.7285027504,12.7692317963,2.68777370453
Co-HeT,2,20,ID,1234,sample1280,20260827,47,N20_K2_M12_I47.xlsx,9.87991690636,9.87991714478,14.6839227676,5.07591104507
Co-HeT,2,20,ID,1234,sample1280,20260827,48,N20_K2_M12_I48.xlsx,9.21187663078,9.2118768692,15.1350355148,3.28871774673
Co-HeT,2,20,ID,1234,sample1280,20260827,49,N20_K2_M12_I49.xlsx,9.69370830059,9.69370746613,15.869556427,3.51786017418
Co-HeT,2,20,ID,1234,sample1280,20260827,50,N20_K2_M12_I50.xlsx,12.2237896919,12.2237892151,17.9220962524,6.52548313141
Co-HeT,2,20,ID,1234,sample1280,20260827,51,N20_K2_M12_I51.xlsx,11.080801487,11.0808029175,16.7881832123,5.37341976166
Co-HeT,2,20,ID,1234,sample1280,20260827,52,N20_K2_M12_I52.xlsx,10.3659293652,10.3659296036,15.8526697159,4.87918901443
Co-HeT,2,20,ID,1234,sample1280,20260827,53,N20_K2_M12_I53.xlsx,10.4835824966,10.4835824966,14.8804359436,6.08672904968
Co-HeT,2,20,ID,1234,sample1280,20260827,54,N20_K2_M12_I54.xlsx,9.55735123158,9.55735015869,16.0436038971,3.07109856606
Co-HeT,2,20,ID,1234,sample1280,20260827,55,N20_K2_M12_I55.xlsx,11.2223248482,11.2223243713,16.9790096283,5.46564006805
Co-HeT,2,20,ID,1234,sample1280,20260827,56,N20_K2_M12_I56.xlsx,11.7361660004,11.7361650467,17.195646286,6.27668571472
Co-HeT,2,20,ID,1234,sample1280,20260827,57,N20_K2_M12_I57.xlsx,11.3356511593,11.3356513977,17.0204048157,5.6508975029
Co-HeT,2,20,ID,1234,sample1280,20260827,58,N20_K2_M12_I58.xlsx,8.65881979465,8.65881919861,14.1451768875,3.1724627018
Co-HeT,2,20,ID,1234,sample1280,20260827,59,N20_K2_M12_I59.xlsx,8.85033869743,8.85033798218,13.6584768295,4.04220056534
Co-HeT,2,20,ID,1234,sample1280,20260827,60,N20_K2_M12_I60.xlsx,9.76473975182,9.76473999023,15.0863161087,4.44316339493
Co-HeT,2,20,ID,1234,sample1280,20260827,61,N20_K2_M12_I61.xlsx,10.052043438,10.0520439148,15.8926382065,4.21144866943
Co-HeT,2,20,ID,1234,sample1280,20260827,62,N20_K2_M12_I62.xlsx,8.83971238136,8.83971214294,14.7022857666,2.97713899612
Co-HeT,2,20,ID,1234,sample1280,20260827,63,N20_K2_M12_I63.xlsx,10.2314486504,10.2314472198,16.3926296234,4.07026767731
Co-HeT,2,20,ID,1234,sample1280,20260827,64,N20_K2_M12_I64.xlsx,9.57998168468,9.57998180389,17.0400085449,2.11995482445
Co-HeT,2,20,ID,1234,sample1280,20260827,65,N20_K2_M12_I65.xlsx,12.2088367939,12.2088356018,17.3959522247,7.02172136307
Co-HeT,2,20,ID,1234,sample1280,20260827,66,N20_K2_M12_I66.xlsx,10.4870038033,10.4870042801,15.3425073624,5.63150024414
Co-HeT,2,20,ID,1234,sample1280,20260827,67,N20_K2_M12_I67.xlsx,9.76268053055,9.76268005371,15.0535678864,4.47179317474
