method,kappa,size,mechanism,decode,n_instances,objective_mean,objective_sd,distance_mean,tardiness_mean,id_degradation_percent_mean,rank
AM,2,20,D-AntiDistance,greedy,100,13.897998476031,1.225697603079235,19.464723482131,8.3312734699242,21.910440196186713,5
AM,2,20,D-AntiDistance,sample1280,100,12.6964994573573,1.1029792645024694,17.851020059588997,7.541978855132499,20.55989953203342,4
AM,2,20,D-Bimodal,greedy,100,12.724843779206198,2.2374890516463664,17.862249374388004,7.5874381840228,11.516049962081134,5
AM,2,20,D-Bimodal,sample1280,100,11.742450879812697,2.130256001055294,16.458541259763003,7.026360499857741,11.431985065115084,4
AM,2,20,D-IID,greedy,100,11.519853587745501,2.3587953540427984,17.465923452375996,5.573783723116715,1.055168435566557,5
AM,2,20,D-IID,sample1280,100,10.540552766324401,2.1699668016728024,16.034296569825997,5.0468089628219595,0.13809239195977605,4
AM,2,20,ID,greedy,100,11.508798606399298,1.3231064695431678,17.698270606991,5.3193266057972,0.0,5
AM,2,20,ID,sample1280,100,10.600119161601503,1.1034552642214306,16.367307567593997,4.832930755615701,0.0,4
AM,2,20,Joint,greedy,100,11.4056101775184,2.1572026783134532,17.369265985493,5.441954369544552,0.2665538126594012,5
AM,2,20,Joint,sample1280,100,10.5360743919004,1.975499386372773,16.183680944438,4.888467839361151,0.07783597889693505,4
AM,2,20,P-Lognormal,greedy,100,11.715277214053199,1.208088671870086,17.894774513244997,5.5357799148559,2.2818725918661587,5
AM,2,20,P-Lognormal,sample1280,100,10.643393152953399,1.1019686988637294,16.2969634819,4.989822824000999,0.514927166080295,4
AM,2,20,P-TruncNormal,greedy,100,11.425688204764402,1.1546588496934023,17.581895627976,5.269480781555001,-0.35759155601612796,4
AM,2,20,P-TruncNormal,sample1280,100,10.6066947472158,1.0476314994782512,16.362838954925003,4.8505505394935,0.164759824528783,4
AM,2,50,D-AntiDistance,greedy,100,21.219913539884,1.5096667716448233,33.711954193114,8.727872886657298,19.252930832224223,3
AM,2,50,D-AntiDistance,sample1280,100,19.432348861693995,1.1981340825371365,30.838286170958998,8.0264115524314,20.106654743690402,3
AM,2,50,D-Bimodal,greedy,100,19.857475452425998,3.5549031244736,31.024240703586997,8.690710201260945,11.454511547809112,2
AM,2,50,D-Bimodal,sample1280,100,17.873194832203,2.9017884976547865,28.968377914431997,6.778011749982449,10.473523739022005,2
AM,2,50,D-IID,greedy,100,18.113435010609,2.594104944320297,30.518138370514,5.708731650710267,1.6776558726952573,3
AM,2,50,D-IID,sample1280,100,16.521847538355004,2.2696397723052346,27.968877773286,5.074817303419053,1.988640744279539,4
AM,2,50,ID,greedy,100,17.892584230902,1.4271923210036297,30.346353530880002,5.438814930916198,0.0,3
AM,2,50,ID,sample1280,100,16.253708196284002,1.2823606726128784,27.564628753665996,4.9427876389027,0.0,3
AM,2,50,Joint,greedy,100,18.109610620740003,2.35662166952908,30.365282592775998,5.853938648704048,1.775244898562479,2
AM,2,50,Joint,sample1280,100,16.457697964607004,2.1487204492824774,27.776018810271008,5.13937711894472,1.7435752980920805,4
AM,2,50,P-Lognormal,greedy,100,17.948773003814996,1.6818868468083585,30.191870555879994,5.7056754517555,0.38098097071288195,2
AM,2,50,P-Lognormal,sample1280,100,16.413279019593002,1.3088416513061623,27.872521152494006,4.9540368866916005,1.0225649198667515,2
AM,2,50,P-TruncNormal,greedy,100,17.852161194091,1.4301779033298034,30.265083408353995,5.439238979816301,-0.09419637350056057,3
AM,2,50,P-TruncNormal,sample1280,100,16.289963242411996,1.290502592750994,27.655927429197,4.923999055624,0.2514788170217115,3
AM,3,20,D-AntiDistance,greedy,100,18.960422716137,1.5314278441380973,25.789627418519,12.131218013763698,21.843081188639022,5
