kappa,size,instance_index,instance_name,bks_objective,bks_source_category,bks_source_method,bks_source_mode,bks_source_rep,candidate_count,co_best_count_1e-6,co_best_sources_json
2,10,1,N10_K2_M12_I1,7.704159736633301,DRL,Co-HeT,greedy,,29,14,"[{""candidate_source"":""DRL"",""method"":""Co-HeT"",""mode"":""greedy"",""rep"":"""",""objective"":7.704159736633301},{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":7.704160030921285},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":0,""objective"":7.704160030921296},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":7.704160030921296},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":2,""objective"":7.704160030921296},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":3,""objective"":7.704160030921296},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":0,""objective"":7.704160030921296},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":7.704160030921296},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":7.704160030921296},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":3,""objective"":7.704160030921296},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":0,""objective"":7.704160030921296},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":2,""objective"":7.704160030921296},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":1,""objective"":7.704160030921297},{""candidate_source"":""DRL"",""method"":""Co-HeT"",""mode"":""sample1280"",""rep"":"""",""objective"":7.704160213470459}]"
2,10,2,N10_K2_M12_I2,9.674939975315992,Gurobi,Gurobi,,,29,7,"[{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":9.674939975315992},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":0,""objective"":9.674939975316054},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":9.674939975316054},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":2,""objective"":9.674939975316054},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":0,""objective"":9.674939975316054},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":2,""objective"":9.674939975316054},{""candidate_source"":""DRL"",""method"":""TDRL"",""mode"":""sample1280"",""rep"":"""",""objective"":9.67494010925293}]"
2,10,3,N10_K2_M12_I3,8.121420800530121,Gurobi,Gurobi,,,29,13,"[{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":8.121420800530121},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":0,""objective"":8.121420800530124},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":8.121420800530124},{""candidate_source"":""Metaheuristic"",""method"":""ALNS"",""mode"":"""",""rep"":3,""objective"":8.121420800530126},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":0,""objective"":8.121420800530126},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":8.121420800530126},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":2,""objective"":8.121420800530126},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":3,""objective"":8.121420800530126},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":8.121420800530126},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":3,""objective"":8.121420800530126},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":0,""objective"":8.121420800530126},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":2,""objective"":8.121420800530126},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":1,""objective"":8.121420800530128}]"
2,10,4,N10_K2_M12_I4,9.28181304427914,Gurobi,Gurobi,,,29,7,"[{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":9.28181304427914},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":9.28181310861888},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":0,""objective"":9.28181310861888},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":9.28181310861888},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":2,""objective"":9.28181310861888},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":3,""objective"":9.28181310861888},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":3,""objective"":9.281813108618882}]"
2,10,5,N10_K2_M12_I5,9.21780111502748,Gurobi,Gurobi,,,29,9,"[{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":9.21780111502748},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":0,""objective"":9.217801242179911},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":9.217801242179911},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":0,""objective"":9.217801242179911},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":9.217801242179911},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":9.217801242179911},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":1,""objective"":9.217801242179911},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":2,""objective"":9.217801242179911},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":3,""objective"":9.217801242179911}]"
2,10,6,N10_K2_M12_I6,10.901960909208846,Gurobi,Gurobi,,,29,9,"[{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":10.901960909208846},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":0,""objective"":10.90196094810758},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":10.90196094810758},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":3,""objective"":10.90196094810758},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":0,""objective"":10.90196094810758},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":10.90196094810758},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":10.90196094810758},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":3,""objective"":10.90196094810758},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":3,""objective"":10.90196094810758}]"
2,10,7,N10_K2_M12_I7,6.78030252456665,DRL,ECHO,sample1280,,29,12,"[{""candidate_source"":""DRL"",""method"":""ECHO"",""mode"":""sample1280"",""rep"":"""",""objective"":6.78030252456665},{""candidate_source"":""DRL"",""method"":""HDRL"",""mode"":""sample1280"",""rep"":"""",""objective"":6.78030252456665},{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":6.780302851696067},{""candidate_source"":""Metaheuristic"",""method"":""ALNS"",""mode"":"""",""rep"":3,""objective"":6.78030285169627},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":0,""objective"":6.78030285169627},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":6.78030285169627},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":1,""objective"":6.78030285169627},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":3,""objective"":6.78030285169627},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":6.780302851696272},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":2,""objective"":6.780302851696272},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":3,""objective"":6.780302851696272},{""candidate_source"":""DRL"",""method"":""TDRL"",""mode"":""sample1280"",""rep"":"""",""objective"":6.780303001403809}]"
2,10,8,N10_K2_M12_I8,8.142261457619963,Metaheuristic,DIWO,,1,29,9,"[{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":8.142261457619963},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":0,""objective"":8.142261457619965},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":8.142261457619965},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":3,""objective"":8.142261457619965},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":8.142261457619965},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":3,""objective"":8.142261457619965},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":0,""objective"":8.142261457619965},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":2,""objective"":8.142261457619965},{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":8.142261457619972}]"
2,10,9,N10_K2_M12_I9,7.933892246092465,Metaheuristic,DABC,,0,29,7,"[{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":0,""objective"":7.933892246092465},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":7.933892246092465},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":7.933892246092465},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":0,""objective"":7.933892246092465},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":1,""objective"":7.933892246092465},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":3,""objective"":7.933892246092466},{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":7.933892246092471}]"
2,10,10,N10_K2_M12_I10,6.858416840736841,Metaheuristic,DABC,,0,29,11,"[{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":0,""objective"":6.858416840736841},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":6.858416840736841},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":2,""objective"":6.858416840736841},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":3,""objective"":6.858416840736841},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":0,""objective"":6.858416840736841},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":6.858416840736841},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":6.858416840736841},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":3,""objective"":6.858416840736841},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":2,""objective"":6.858416840736841},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":3,""objective"":6.858416840736842},{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":6.858416840736855}]"
