method,kappa,size,mode,repeat,position,cost,duration_s
Co-HeT,2,10,greedy,1,1,6.942248344421387,0.6199159622192383
Co-HeT,2,10,greedy,1,2,8.249150276184082,0.05034041404724121
Co-HeT,2,10,greedy,1,3,6.8304948806762695,0.049037933349609375
Co-HeT,2,10,greedy,1,4,10.096475601196289,0.04903602600097656
Co-HeT,2,10,greedy,1,5,7.93282413482666,0.04905414581298828
Co-HeT,2,10,greedy,1,6,7.995273113250732,0.04914522171020508
Co-HeT,2,10,greedy,1,7,6.99343204498291,0.048922061920166016
Co-HeT,2,10,greedy,1,8,8.085613250732422,0.04918193817138672
Co-HeT,2,10,greedy,1,9,7.663234233856201,0.04888916015625
Co-HeT,2,10,greedy,1,10,9.349239349365234,0.0489497184753418
Co-HeT,2,10,greedy,1,11,8.748815536499023,0.04886031150817871
Co-HeT,2,10,greedy,1,12,5.727897644042969,0.04893612861633301
Co-HeT,2,10,greedy,1,13,7.551692962646484,0.04888558387756348
Co-HeT,2,10,greedy,1,14,8.486483573913574,0.049016714096069336
Co-HeT,2,10,greedy,1,15,6.829237461090088,0.04884624481201172
Co-HeT,2,10,greedy,1,16,7.7911882400512695,0.048940181732177734
Co-HeT,2,10,greedy,1,17,7.994119167327881,0.049082040786743164
Co-HeT,2,10,greedy,1,18,9.370567321777344,0.0487673282623291
Co-HeT,2,10,greedy,1,19,7.352000713348389,0.05215811729431152
Co-HeT,2,10,greedy,1,20,8.029987335205078,0.04903674125671387
Co-HeT,2,10,greedy,1,21,7.788564205169678,0.048892974853515625
Co-HeT,2,10,greedy,1,22,6.535861968994141,0.049016714096069336
Co-HeT,2,10,greedy,1,23,8.69517707824707,0.0490260124206543
Co-HeT,2,10,greedy,1,24,8.768150329589844,0.0490565299987793
Co-HeT,2,10,greedy,1,25,9.69514274597168,0.04889202117919922
Co-HeT,2,10,greedy,1,26,7.580510139465332,0.04889655113220215
Co-HeT,2,10,greedy,1,27,7.749669075012207,0.049188852310180664
Co-HeT,2,10,greedy,1,28,7.4415178298950195,0.04898357391357422
