method,kappa,size,index,instance,rep,seed,runtime_s,iterations_completed,termination_reason,status
ALNS,2,10,10,N10_K2_M12_I10,0,6345575,3.0823402404785156,101,iteration_limit,success
ALNS,2,10,10,N10_K2_M12_I10,1,8344000,3.0215225219726562,101,iteration_limit,success
ALNS,2,10,60,N10_K2_M12_I60,0,6345575,3.0832560062408447,101,iteration_limit,success
ALNS,2,10,60,N10_K2_M12_I60,1,8344000,2.9824721813201904,101,iteration_limit,success
IGA,2,10,10,N10_K2_M12_I10,0,4708410,13.993849039077759,101,iteration_limit,success
IGA,2,10,10,N10_K2_M12_I10,1,7195532,11.871464490890503,101,iteration_limit,success
IGA,2,10,60,N10_K2_M12_I60,0,4708410,11.893791437149048,101,iteration_limit,success
IGA,2,10,60,N10_K2_M12_I60,1,7195532,11.27139949798584,101,iteration_limit,success
DABC,2,10,10,N10_K2_M12_I10,0,7213488,34.209397315979004,101,iteration_limit,success
DABC,2,10,10,N10_K2_M12_I10,1,4068738,33.52135753631592,101,iteration_limit,success
DABC,2,10,60,N10_K2_M12_I60,0,7213488,33.93503522872925,101,iteration_limit,success
DABC,2,10,60,N10_K2_M12_I60,1,4068738,33.95407509803772,101,iteration_limit,success
DIWO,2,10,10,N10_K2_M12_I10,0,9562004,73.98692798614502,101,iteration_limit,success
DIWO,2,10,10,N10_K2_M12_I10,1,2008813,73.88594627380371,101,iteration_limit,success
DIWO,2,10,60,N10_K2_M12_I60,0,9562004,75.16043043136597,101,iteration_limit,success
DIWO,2,10,60,N10_K2_M12_I60,1,2008813,74.44285011291504,101,iteration_limit,success
ALNS,2,20,10,N20_K2_M12_I10,0,6345575,25.97171902656555,101,iteration_limit,success
ALNS,2,20,10,N20_K2_M12_I10,1,8344000,26.438079357147217,101,iteration_limit,success
ALNS,2,20,60,N20_K2_M12_I60,0,6345575,26.474765300750732,101,iteration_limit,success
ALNS,2,20,60,N20_K2_M12_I60,1,8344000,25.267069339752197,101,iteration_limit,success
IGA,2,20,10,N20_K2_M12_I10,0,4708410,78.76431608200073,101,iteration_limit,success
IGA,2,20,10,N20_K2_M12_I10,1,7195532,95.11010265350342,101,iteration_limit,success
IGA,2,20,60,N20_K2_M12_I60,0,4708410,118.85375308990479,101,iteration_limit,success
IGA,2,20,60,N20_K2_M12_I60,1,7195532,94.51600003242493,101,iteration_limit,success
DABC,2,20,10,N20_K2_M12_I10,0,7213488,60.36018776893616,101,iteration_limit,success
DABC,2,20,10,N20_K2_M12_I10,1,4068738,60.941110610961914,101,iteration_limit,success
DABC,2,20,60,N20_K2_M12_I60,0,7213488,59.88154888153076,101,iteration_limit,success
DABC,2,20,60,N20_K2_M12_I60,1,4068738,59.975024938583374,101,iteration_limit,success
DIWO,2,20,10,N20_K2_M12_I10,0,9562004,131.2897765636444,101,iteration_limit,success
DIWO,2,20,10,N20_K2_M12_I10,1,2008813,130.46766066551208,101,iteration_limit,success
DIWO,2,20,60,N20_K2_M12_I60,0,9562004,129.96240830421448,101,iteration_limit,success
DIWO,2,20,60,N20_K2_M12_I60,1,2008813,132.76408410072327,101,iteration_limit,success
ALNS,2,50,10,N50_K2_M12_I10,0,6345575,564.5226604938507,101,iteration_limit,success
ALNS,2,50,10,N50_K2_M12_I10,1,8344000,519.4234144687653,101,iteration_limit,success
ALNS,2,50,60,N50_K2_M12_I60,0,6345575,547.736218214035,101,iteration_limit,success
ALNS,2,50,60,N50_K2_M12_I60,1,8344000,518.027952671051,101,iteration_limit,success
IGA,2,50,10,N50_K2_M12_I10,0,4708410,899.9473645687103,101,iteration_limit,success
IGA,2,50,10,N50_K2_M12_I10,1,7195532,855.7918703556061,101,iteration_limit,success
IGA,2,50,60,N50_K2_M12_I60,0,4708410,737.9023230075836,101,iteration_limit,success
IGA,2,50,60,N50_K2_M12_I60,1,7195532,878.1531627178192,101,iteration_limit,success
DABC,2,50,10,N50_K2_M12_I10,0,7213488,139.1840636730194,101,iteration_limit,success
DABC,2,50,10,N50_K2_M12_I10,1,4068738,138.1869022846222,101,iteration_limit,success
DABC,2,50,60,N50_K2_M12_I60,0,7213488,138.91516041755676,101,iteration_limit,success
DABC,2,50,60,N50_K2_M12_I60,1,4068738,137.95953226089478,101,iteration_limit,success
DIWO,2,50,10,N50_K2_M12_I10,0,9562004,292.45380687713623,101,iteration_limit,success
DIWO,2,50,10,N50_K2_M12_I10,1,2008813,300.3200681209564,101,iteration_limit,success
DIWO,2,50,60,N50_K2_M12_I60,0,9562004,303.2146887779236,101,iteration_limit,success
DIWO,2,50,60,N50_K2_M12_I60,1,2008813,297.79900217056274,101,iteration_limit,success
DABC,2,100,10,N100_K2_M12_I10,0,7213488,273.0443317890167,101,iteration_limit,success
DABC,2,100,10,N100_K2_M12_I10,1,4068738,273.2696371078491,101,iteration_limit,success
DABC,2,100,60,N100_K2_M12_I60,0,7213488,271.21170806884766,101,iteration_limit,success
DABC,2,100,60,N100_K2_M12_I60,1,4068738,268.57331800460815,101,iteration_limit,success
DIWO,2,100,10,N100_K2_M12_I10,0,9562004,569.2123508453369,101,iteration_limit,success
DIWO,2,100,10,N100_K2_M12_I10,1,2008813,581.4152765274048,101,iteration_limit,success
DIWO,2,100,60,N100_K2_M12_I60,0,9562004,575.2322871685028,101,iteration_limit,success
DIWO,2,100,60,N100_K2_M12_I60,1,2008813,573.6179721355438,101,iteration_limit,success
ALNS,3,10,10,N10_K3_M18_I10,0,6345575,40.19027233123779,101,iteration_limit,success
