candidate_source,method,mode,rep,kappa,size,instance_index,instance_name,objective,distance,tardiness,runtime_s,status,objective_validation,objective_consistency_error,instance_hash_source
Gurobi,Gurobi,,,2,10,1,N10_K2_M12_I1,7.704160030921285,11.853992671140649,3.554327390701922,1701.1909999847412,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,2,N10_K2_M12_I2,9.674939975315992,11.1940666701285,8.155813280503484,3600.005999803543,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,3,N10_K2_M12_I3,8.121420800530121,11.52995426140748,4.712887339652763,2224.2999999523163,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,4,N10_K2_M12_I4,9.28181304427914,11.716674435967144,6.846951652591134,3600.007999897003,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,5,N10_K2_M12_I5,9.21780111502748,12.420359977091213,6.015242252963749,3600.00100016594,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,6,N10_K2_M12_I6,10.901960909208846,12.08197431275066,9.721947505667032,3600.012000083924,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,7,N10_K2_M12_I7,6.780302851696067,10.23001558970908,3.330590113683056,57.51900005340576,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,8,N10_K2_M12_I8,8.142261457619972,11.602355307991584,4.682167607248359,6.805000066757202,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,9,N10_K2_M12_I9,7.933892246092471,11.154431590034994,4.713352902149949,1613.300999879837,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,10,N10_K2_M12_I10,6.858416840736855,9.746266250296587,3.9705674311771215,918.7939999103546,optimal,components_recomputed,8.881784197001252e-16,source_record
Gurobi,Gurobi,,,2,10,11,N10_K2_M12_I11,7.321924920032936,9.85442630181634,4.789423538249532,197.84500002861023,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,12,N10_K2_M12_I12,9.12832003477949,10.538912918448094,7.717727151110886,217.95900011062625,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,13,N10_K2_M12_I13,6.553970241941481,10.148307924885628,2.9596325589973334,7.866000175476074,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,14,N10_K2_M12_I14,8.243812170994733,10.4318418291993,6.055782512790167,165.87600016593933,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,15,N10_K2_M12_I15,6.425818700656358,9.060177341371704,3.791460059941013,10.714999914169312,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,16,N10_K2_M12_I16,7.904840526408029,11.36481737138915,4.444863681426909,125.69199991226196,optimal,components_recomputed,0.0,source_record
