category,method,mode,kappa,size,objective_n,mean_objective,time_n,mean_time_s,time_source
MILP,Gurobi,,2,10,100,7.699607336066487,100,1151.4149200153352,gurobi_all_completed_instances
MILP,Gurobi,,2,20,100,9.972014056541479,100,3600.012549993992,gurobi_all_completed_instances
MILP,Gurobi,,2,50,100,21.641037431745293,100,3600.011353571415,gurobi_all_completed_instances
MILP,Gurobi,,2,100,0,,0,3600.0,contract_limit
MILP,Gurobi,,3,10,100,10.30542676570763,100,3296.316123328781,gurobi_all_completed_instances
MILP,Gurobi,,3,20,100,14.436686836576868,100,3600.029010000229,gurobi_all_completed_instances
MILP,Gurobi,,3,50,93,45.66288223977406,100,3600.008730876446,gurobi_all_completed_instances
MILP,Gurobi,,3,100,0,,0,3600.0,contract_limit
Meta.,ALNS,,2,10,100,7.862660197255785,4,3.042397737503052,meta_quick_timing
Meta.,IGA,,2,10,100,7.747077067514988,4,12.257626116275787,meta_quick_timing
Meta.,DABC,,2,10,100,7.70938425019665,4,33.90496629476547,meta_quick_timing
Meta.,DIWO,,2,10,100,7.713785773918499,4,74.36903870105743,meta_quick_timing
Meta.,ALNS,,2,20,100,10.453989589987437,4,26.037908256053925,meta_quick_timing
Meta.,IGA,,2,20,100,10.137133629047971,4,96.81104296445848,meta_quick_timing
Meta.,DABC,,2,20,100,10.421714325753717,4,60.28946805000305,meta_quick_timing
Meta.,DIWO,,2,20,100,10.261503648445244,4,131.12098240852356,meta_quick_timing
Meta.,ALNS,,2,50,100,15.906331970633694,4,537.4275614619255,meta_quick_timing
Meta.,IGA,,2,50,100,15.629365487483103,4,842.9486801624298,meta_quick_timing
Meta.,DABC,,2,50,100,18.266863146990136,4,138.56141465902328,meta_quick_timing
Meta.,DIWO,,2,50,100,18.424622991002803,4,298.44689148664474,meta_quick_timing
Meta.,ALNS,,2,100,100,26.773682990225794,0,3600.0,contract_limit_preexcluded
Meta.,IGA,,2,100,100,28.79408169081266,0,3600.0,contract_limit_preexcluded
Meta.,DABC,,2,100,100,30.895641842741178,4,271.5247487425804,meta_quick_timing
Meta.,DIWO,,2,100,100,33.07630247746845,4,574.8694716691971,meta_quick_timing
Meta.,ALNS,,3,10,100,10.64762150247346,4,41.12988704442978,meta_quick_timing
Meta.,IGA,,3,10,100,10.402542100342785,4,211.71767354011536,meta_quick_timing
Meta.,DABC,,3,10,100,10.783325488975436,4,47.14978295564652,meta_quick_timing
Meta.,DIWO,,3,10,100,10.617156648457387,4,106.90503716468812,meta_quick_timing
Meta.,ALNS,,3,20,100,14.778659127734864,4,389.0245298743248,meta_quick_timing
Meta.,IGA,,3,20,100,14.4234110161776,4,1595.6215394735336,meta_quick_timing
Meta.,DABC,,3,20,100,17.002033320153306,4,87.17223888635635,meta_quick_timing
Meta.,DIWO,,3,20,100,16.511129076815223,4,191.2426837682724,meta_quick_timing
Meta.,ALNS,,3,50,100,29.650417714004003,0,3600.0,contract_limit_preexcluded
Meta.,IGA,,3,50,100,30.28689422490463,0,3600.0,contract_limit_preexcluded
Meta.,DABC,,3,50,100,33.60051690970922,4,208.848424077034,meta_quick_timing
Meta.,DIWO,,3,50,100,33.58415198769364,4,455.0169499516487,meta_quick_timing
Meta.,ALNS,,3,100,99,65.69122166488556,0,3600.0,contract_limit_preexcluded
Meta.,IGA,,3,100,100,67.39903413658459,0,3600.0,contract_limit_preexcluded
Meta.,DABC,,3,100,100,58.4353429352673,4,418.5681051015854,meta_quick_timing
Meta.,DIWO,,3,100,100,62.01501106496303,4,903.1323374509813,meta_quick_timing
