category,method,mode,kappa,size,instance_index,instance_name,repetition_n,mean_objective,bks_objective,rpd
MILP,Gurobi,,2,10,1,N10_K2_M12_I1,1,7.704160030921285,7.704159736633301,3.819858287783073e-06
MILP,Gurobi,,2,10,2,N10_K2_M12_I2,1,9.674939975315992,9.674939975315992,0.0
MILP,Gurobi,,2,10,3,N10_K2_M12_I3,1,8.121420800530121,8.121420800530121,0.0
MILP,Gurobi,,2,10,4,N10_K2_M12_I4,1,9.28181304427914,9.28181304427914,0.0
MILP,Gurobi,,2,10,5,N10_K2_M12_I5,1,9.21780111502748,9.21780111502748,0.0
MILP,Gurobi,,2,10,6,N10_K2_M12_I6,1,10.901960909208846,10.901960909208846,0.0
MILP,Gurobi,,2,10,7,N10_K2_M12_I7,1,6.780302851696067,6.78030252456665,4.824702374311699e-06
MILP,Gurobi,,2,10,8,N10_K2_M12_I8,1,8.142261457619972,8.142261457619963,1.0908252262876188e-13
MILP,Gurobi,,2,10,9,N10_K2_M12_I9,1,7.933892246092471,7.933892246092465,7.83631633132268e-14
MILP,Gurobi,,2,10,10,N10_K2_M12_I10,1,6.858416840736855,6.858416840736841,2.0720313514328835e-13
MILP,Gurobi,,2,10,11,N10_K2_M12_I11,1,7.321924920032936,7.321924920032926,1.334343457957425e-13
MILP,Gurobi,,2,10,12,N10_K2_M12_I12,1,9.12832003477949,9.12831974029541,3.2260491324388986e-06
MILP,Gurobi,,2,10,13,N10_K2_M12_I13,1,6.553970241941481,6.553970241941481,0.0
MILP,Gurobi,,2,10,14,N10_K2_M12_I14,1,8.243812170994733,8.243812170994733,0.0
MILP,Gurobi,,2,10,15,N10_K2_M12_I15,1,6.425818700656358,6.425818700656358,0.0
MILP,Gurobi,,2,10,16,N10_K2_M12_I16,1,7.904840526408029,7.904840526408025,5.617940151562522e-14
MILP,Gurobi,,2,10,17,N10_K2_M12_I17,1,7.617050744527349,7.617050744527349,0.0
MILP,Gurobi,,2,10,18,N10_K2_M12_I18,1,7.520195076512028,7.520195076512028,0.0
MILP,Gurobi,,2,10,19,N10_K2_M12_I19,1,9.331056409528385,9.331056409528385,0.0
MILP,Gurobi,,2,10,20,N10_K2_M12_I20,1,8.349114158560813,8.349114158560813,0.0
MILP,Gurobi,,2,10,21,N10_K2_M12_I21,1,6.613325070621561,6.613325070621559,2.6860268026009767e-14
MILP,Gurobi,,2,10,22,N10_K2_M12_I22,1,5.823584123798914,5.823584123798914,0.0
MILP,Gurobi,,2,10,23,N10_K2_M12_I23,1,8.099183830524204,8.099183830524204,0.0
MILP,Gurobi,,2,10,24,N10_K2_M12_I24,1,7.748391442450744,7.748391442450744,0.0
MILP,Gurobi,,2,10,25,N10_K2_M12_I25,1,8.942124645205723,8.942124645205723,0.0
MILP,Gurobi,,2,10,26,N10_K2_M12_I26,1,6.420141011963919,6.420141011963919,0.0
MILP,Gurobi,,2,10,27,N10_K2_M12_I27,1,7.655210625900899,7.65521062590089,1.2762500072362955e-13
MILP,Gurobi,,2,10,28,N10_K2_M12_I28,1,7.740399167393912,7.740399167393903,1.1474581613846716e-13
MILP,Gurobi,,2,10,29,N10_K2_M12_I29,1,8.041953236217006,8.041953236217001,6.626587299962451e-14
MILP,Gurobi,,2,10,30,N10_K2_M12_I30,1,7.968047374421946,7.968047374421928,2.340817760895378e-13
MILP,Gurobi,,2,10,31,N10_K2_M12_I31,1,7.776213979048397,7.776213979048397,0.0
MILP,Gurobi,,2,10,32,N10_K2_M12_I32,1,6.886418025662309,6.886418025662309,0.0
MILP,Gurobi,,2,10,33,N10_K2_M12_I33,1,7.4418574361274334,7.4418574361274334,0.0
MILP,Gurobi,,2,10,34,N10_K2_M12_I34,1,6.231283217182272,6.231283217182272,0.0
MILP,Gurobi,,2,10,35,N10_K2_M12_I35,1,6.7891209795525045,6.7891209795525045,0.0
MILP,Gurobi,,2,10,36,N10_K2_M12_I36,1,6.492273929852424,6.492273929852424,0.0
MILP,Gurobi,,2,10,37,N10_K2_M12_I37,1,7.96694529139773,7.966945291397725,6.688975916471766e-14
MILP,Gurobi,,2,10,38,N10_K2_M12_I38,1,6.384607604305742,6.384607604305742,0.0
