method,kappa,size,mode,robot_num_list,sample_width,training_seed,eval_seed,instance_index,instance_id,instance_filename,objective,distance,tardiness,replay_objective,objective_replay_error,model_objective,model_replay_residual,model_replay_tolerance,feasible,status,tour
Co-HeT,2,10,greedy,"[4,8]",0,1234,20260827,1,I1,N10_K2_M12_I1.xlsx,7.704159736633301,11.853992462158203,3.554327249526977,7.704159736633301,0.0,7.704159736633301,0.0,1.9073486328125e-06,True,SUCCEEDED,"[4,0,4,3,1,5,1,2,6,7,3,7,5,2,8,6,0,4,0,3,6,2,2,8,8,3,7,9,2,8]"
Co-HeT,2,10,greedy,"[4,8]",0,1234,20260827,2,I2,N10_K2_M12_I2.xlsx,10.114139556884766,12.821389198303224,7.406890392303467,10.114139556884766,0.0,10.114139556884766,0.0,3.814697265625e-06,True,SUCCEEDED,"[7,0,4,9,1,5,0,2,6,6,0,4,8,3,7,1,3,7,3,1,8,5,2,6,2,1,8,4,0,4]"
Co-HeT,2,10,greedy,"[4,8]",0,1234,20260827,3,I3,N10_K2_M12_I3.xlsx,8.464838981628418,10.502182006835938,6.427495956420898,8.464838981628418,0.0,8.464838981628418,0.0,3.814697265625e-06,True,SUCCEEDED,"[6,0,4,9,1,5,4,2,6,7,3,7,5,0,4,8,3,7,1,1,5,2,2,6,0,3,7,3,1,5]"
Co-HeT,2,10,greedy,"[4,8]",0,1234,20260827,4,I4,N10_K2_M12_I4.xlsx,9.349239349365234,12.282811164855955,6.415667533874512,9.349239349365234,0.0,9.349239349365234,0.0,3.814697265625e-06,True,SUCCEEDED,"[9,0,4,2,1,5,0,2,6,6,0,4,7,3,7,5,1,5,4,3,7,3,2,6,1,3,7,8,1,5]"
Co-HeT,2,10,greedy,"[4,8]",0,1234,20260827,5,I5,N10_K2_M12_I5.xlsx,9.69514274597168,13.905563354492188,5.484721660614014,9.69514274597168,0.0,9.69514274597168,0.0,3.814697265625e-06,True,SUCCEEDED,"[9,0,4,7,1,5,5,1,6,4,2,7,2,3,8,0,2,7,1,1,5,6,2,6,3,3,8,8,3,7]"
Co-HeT,2,10,greedy,"[4,8]",0,1234,20260827,6,I6,N10_K2_M12_I6.xlsx,11.04319953918457,13.527786254882812,8.558612823486328,11.04319953918457,0.0,11.04319953918457,0.0,3.814697265625e-06,True,SUCCEEDED,"[9,0,4,6,1,5,4,0,4,2,2,6,1,0,4,0,3,7,5,3,8,8,1,5,7,3,7,3,2,6]"
Co-HeT,2,10,greedy,"[4,8]",0,1234,20260827,7,I7,N10_K2_M12_I7.xlsx,6.993431568145752,10.948433876037598,3.038429021835327,6.993431568145752,0.0,6.99343204498291,4.76837158203125e-07,1.9073486328125e-06,True,SUCCEEDED,"[5,0,4,6,1,5,9,2,6,1,0,7,4,3,8,7,1,9,3,0,8,2,2,5,0,3,6,8,2,5]"
Co-HeT,2,10,greedy,"[4,8]",0,1234,20260827,8,I8,N10_K2_M12_I8.xlsx,8.43365478515625,12.668656349182127,4.198653221130371,8.43365478515625,0.0,8.43365478515625,0.0,3.814697265625e-06,True,SUCCEEDED,"[7,0,4,8,1,5,2,2,6,5,3,7,3,2,8,6,0,9,9,1,4,0,0,5,4,2,8,1,3,7]"
Co-HeT,2,10,greedy,"[4,8]",0,1234,20260827,9,I9,N10_K2_M12_I9.xlsx,8.128748893737793,11.539909362792969,4.717587947845459,8.128748893737793,0.0,8.128748893737793,0.0,3.814697265625e-06,True,SUCCEEDED,"[7,0,4,2,1,5,1,2,6,8,3,7,9,2,8,5,3,7,3,2,8,6,1,5,4,1,6,0,2,5]"
Co-HeT,2,10,greedy,"[4,8]",0,1234,20260827,10,I10,N10_K2_M12_I10.xlsx,7.609087944030762,9.492095947265623,5.726079940795898,7.609087944030762,0.0,7.609087944030762,0.0,1.9073486328125e-06,True,SUCCEEDED,"[7,0,4,0,1,5,8,0,6,1,0,4,4,2,7,3,2,5,5,1,6,9,1,7,2,0,4,6,2,5]"
