method,train_seed,mode,eval_seed,instance_id,instance_index,instance_filename,objective
AM,1234,greedy,20260827,I1,1,N20_K2_M12_I1.xlsx,11.2567996979
AM,1234,greedy,20260827,I2,2,N20_K2_M12_I2.xlsx,11.6399974823
AM,1234,greedy,20260827,I3,3,N20_K2_M12_I3.xlsx,11.6460533142
AM,1234,greedy,20260827,I4,4,N20_K2_M12_I4.xlsx,9.1895160675
AM,1234,greedy,20260827,I5,5,N20_K2_M12_I5.xlsx,10.871758461
AM,1234,greedy,20260827,I6,6,N20_K2_M12_I6.xlsx,13.4404373169
AM,1234,greedy,20260827,I7,7,N20_K2_M12_I7.xlsx,12.3017063141
AM,1234,greedy,20260827,I8,8,N20_K2_M12_I8.xlsx,12.7309818268
AM,1234,greedy,20260827,I9,9,N20_K2_M12_I9.xlsx,10.8481578827
AM,1234,greedy,20260827,I10,10,N20_K2_M12_I10.xlsx,11.568860054
AM,1234,greedy,20260827,I11,11,N20_K2_M12_I11.xlsx,12.0546827316
AM,1234,greedy,20260827,I12,12,N20_K2_M12_I12.xlsx,7.51979064941
AM,1234,greedy,20260827,I13,13,N20_K2_M12_I13.xlsx,11.5459327698
AM,1234,greedy,20260827,I14,14,N20_K2_M12_I14.xlsx,8.94098186493
AM,1234,greedy,20260827,I15,15,N20_K2_M12_I15.xlsx,11.0519218445
AM,1234,greedy,20260827,I16,16,N20_K2_M12_I16.xlsx,12.0426607132
AM,1234,greedy,20260827,I17,17,N20_K2_M12_I17.xlsx,10.8162937164
AM,1234,greedy,20260827,I18,18,N20_K2_M12_I18.xlsx,12.54829216
AM,1234,greedy,20260827,I19,19,N20_K2_M12_I19.xlsx,10.7495498657
AM,1234,greedy,20260827,I20,20,N20_K2_M12_I20.xlsx,12.8465690613
AM,1234,greedy,20260827,I21,21,N20_K2_M12_I21.xlsx,13.5801353455
AM,1234,greedy,20260827,I22,22,N20_K2_M12_I22.xlsx,12.5413990021
AM,1234,greedy,20260827,I23,23,N20_K2_M12_I23.xlsx,13.6861381531
AM,1234,greedy,20260827,I24,24,N20_K2_M12_I24.xlsx,13.6831293106
AM,1234,greedy,20260827,I25,25,N20_K2_M12_I25.xlsx,10.0666809082
AM,1234,greedy,20260827,I26,26,N20_K2_M12_I26.xlsx,12.2333116531
AM,1234,greedy,20260827,I27,27,N20_K2_M12_I27.xlsx,10.5675239563
AM,1234,greedy,20260827,I28,28,N20_K2_M12_I28.xlsx,12.8004980087
AM,1234,greedy,20260827,I29,29,N20_K2_M12_I29.xlsx,12.040933609
AM,1234,greedy,20260827,I30,30,N20_K2_M12_I30.xlsx,10.2792472839
AM,1234,greedy,20260827,I31,31,N20_K2_M12_I31.xlsx,8.7244720459
AM,1234,greedy,20260827,I32,32,N20_K2_M12_I32.xlsx,8.8491601944
AM,1234,greedy,20260827,I33,33,N20_K2_M12_I33.xlsx,10.6918621063
AM,1234,greedy,20260827,I34,34,N20_K2_M12_I34.xlsx,12.8993835449
AM,1234,greedy,20260827,I35,35,N20_K2_M12_I35.xlsx,12.5820980072
AM,1234,greedy,20260827,I36,36,N20_K2_M12_I36.xlsx,9.90603065491
AM,1234,greedy,20260827,I37,37,N20_K2_M12_I37.xlsx,13.1463851929
AM,1234,greedy,20260827,I38,38,N20_K2_M12_I38.xlsx,10.8335418701
AM,1234,greedy,20260827,I39,39,N20_K2_M12_I39.xlsx,12.3744192123
AM,1234,greedy,20260827,I40,40,N20_K2_M12_I40.xlsx,10.7886714935
AM,1234,greedy,20260827,I41,41,N20_K2_M12_I41.xlsx,13.6464071274
