method,mode,n_training_seeds,n_instances,mean,sd_seed,ci_low,ci_high
Co-HeT,greedy,3,100,10.493829034167936,0.018521799695565437,10.278516370771156,10.70560422583432
Co-HeT,sample1280,3,100,10.155255533855666,0.01264845797350756,9.95120883166767,10.356266535520712
AM,greedy,3,100,11.455356515250132,0.06448071444908741,11.214951512417816,11.700849111398092
AM,sample1280,3,100,10.5686697943993,0.027305676538748234,10.357315854312521,10.77567115489465
MVMoE,greedy,3,100,11.408843563400568,0.041390455947858666,11.189221865580594,11.630025596462476
MVMoE,sample1280,3,100,10.575612827937032,0.03349261446068447,10.365962875682776,10.783875530402353
HDRL,greedy,3,100,11.224104917843533,0.04742350794983216,10.977367583513844,11.464951852041274
HDRL,sample1280,3,100,10.384958424568266,0.019231591147759703,10.167601587613012,10.596636312287888
TDRL,greedy,3,100,11.870501810711767,0.1818868110159621,11.589764310600426,12.180070283411068
TDRL,sample1280,3,100,10.697583983739397,0.06306409299459793,10.48023222875987,10.914799595472767
ECHO,greedy,3,100,11.5226099586498,0.059885635474526196,11.28072463266003,11.767373789546518
ECHO,sample1280,3,100,10.544745105108333,0.0029015438819104023,10.326503116008814,10.747362785104924
